Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,TotalCohortsHarvested,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_tiliamer,CohortsHarvested_tsugcana,
10, 1, CPRS, 88, 10, 315, 315, 38, 10, 140, 30, 0, 0, 0, 0, 50, 0, 30, 30, 0, 0, 0, 0, 0, 0, 
10, 1, CPRS, 75, 8, 326, 326, 45, 10, 260, 30, 20, 40, 30, 0, 10, 0, 0, 0, 0, 0, 0, 30, 40, 60, 
10, 1, CPRS, 120, 9, 320, 320, 41, 10, 140, 30, 0, 0, 0, 0, 50, 0, 30, 30, 0, 0, 0, 0, 0, 0, 
10, 1, CPRS, 109, 1, 338, 338, 58, 10, 260, 30, 20, 40, 30, 0, 10, 0, 0, 0, 0, 0, 0, 30, 40, 60, 
10, 1, CPRS, 20, 6, 326, 326, 14, 10, 140, 30, 0, 0, 0, 0, 50, 0, 30, 30, 0, 0, 0, 0, 0, 0, 
10, 1, CPRS, 65, 5, 327, 327, 29, 10, 140, 30, 0, 0, 0, 0, 50, 0, 30, 30, 0, 0, 0, 0, 0, 0, 
10, 1, CPRS, 125, 7, 326, 326, 23, 10, 122, 21, 3, 0, 0, 0, 35, 6, 27, 21, 0, 9, 0, 0, 0, 0, 
10, 1, CPRS, 145, 3, 335, 335, 21, 10, 260, 30, 20, 40, 30, 0, 10, 0, 0, 0, 0, 0, 0, 30, 40, 60, 
10, 1, CPRS, 73, 11, 315, 315, 44, 10, 260, 30, 20, 40, 30, 0, 10, 0, 0, 0, 0, 0, 0, 30, 40, 60, 
10, 1, CPRS, 99, 4, 330, 330, 32, 10, 260, 30, 20, 40, 30, 0, 10, 0, 0, 0, 0, 0, 0, 30, 40, 60, 
