Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, 101, 1881, 23796.7676767677, 3.36565791440647, 513.557150451887, 4738.9346092504, 0, 
5, 102, 7920, 21353.9421717172, 0.623618968822709, 441.069696969697, 4371.31224747475, 0, 
10, 101, 1881, 24277.1834130781, 860.642591514988, 507.176501860712, 4980.84157363105, 0, 
10, 102, 7920, 21251.4964646465, 772.126248046374, 426.884595959596, 4421.01237373737, 0, 
15, 101, 1881, 24277.1834130781, 860.642591514988, 507.176501860712, 4980.84157363105, 0, 
15, 102, 7920, 20411.0478535354, 735.817220630426, 411.53851010101, 4340.4375, 0, 
20, 101, 1881, 24614.9069643806, 843.373137635107, 495.975544922913, 5062.78149920255, 0, 
20, 102, 7920, 20491.4255050505, 781.99265661201, 423.030555555556, 4218.67954545455, 0, 
25, 101, 1881, 24576.6783625731, 846.056395320263, 496.68793195109, 5064.95853269537, 0, 
25, 102, 7920, 20628.3420454545, 808.008808440514, 434.360606060606, 4181.39772727273, 0, 
30, 101, 1881, 24670.8149920255, 828.766183811445, 488.896331738437, 5159.94896331738, 0, 
30, 102, 7920, 21748.8809343434, 809.900400898276, 439.34053030303, 4093.36464646465, 0, 
35, 101, 1881, 24671.8442317916, 829.145289488091, 488.168527379054, 5154.67942583732, 0, 
35, 102, 7920, 21728.422979798, 808.388821384445, 438.633080808081, 4084.28863636364, 0, 
40, 101, 1881, 24718.1982987772, 793.316973683326, 473.09197235513, 5149.83625730994, 0, 
40, 102, 7920, 22586.8371212121, 775.123338978166, 424.526388888889, 4076.12474747475, 0, 
45, 101, 1881, 24751.7634237108, 792.847693024775, 472.533227006911, 5147.29930887826, 0, 
45, 102, 7920, 21288.7371212121, 711.331292216066, 395.71994949495, 4121.62828282828, 0, 
50, 101, 1881, 24566.3211057948, 755.492405418408, 450.948963317384, 5187.94045720362, 0, 
50, 102, 7920, 20852.8688131313, 708.796640019509, 384.643308080808, 4091.62638888889, 0, 
