Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1895, 101, 0, 77.83, 13.16, 81, 199, 0, 
1896, 101, 0, 77.83, 13.16, 81, 200, 0, 
1897, 101, 0, 77.83, 13.16, 81, 202, 0, 
1898, 101, 0, 77.83, 13.16, 81, 199, 0, 
1899, 101, 0, 77.83, 13.16, 81, 207, 0, 
1900, 101, 0, 77.83, 13.16, 81, 200, 0, 
1901, 101, 0, 77.83, 13.16, 81, 199, 0, 
1902, 101, 0, 77.83, 13.16, 81, 202, 0, 
1903, 101, 0, 77.83, 13.16, 81, 200, 0, 
1904, 101, 0, 77.83, 13.16, 81, 201, 0, 
1905, 101, 0, 77.83, 13.16, 81, 199, 0, 
1906, 101, 0, 77.83, 13.16, 81, 200, 0, 
1907, 101, 0, 77.83, 13.16, 81, 202, 0, 
1908, 101, 0, 77.83, 13.16, 81, 199, 0, 
1909, 101, 0, 77.83, 13.16, 81, 199, 0, 
1910, 101, 0, 77.83, 13.16, 81, 200, 0, 
1911, 101, 0, 77.83, 13.16, 81, 199, 0, 
1912, 101, 0, 77.83, 13.16, 81, 200, 0, 
1913, 101, 0, 77.83, 13.16, 81, 200, 0, 
1914, 101, 0, 77.83, 13.16, 81, 199, 0, 
1915, 101, 0, 77.83, 13.16, 81, 203, 0, 
1916, 101, 0, 77.83, 13.16, 81, 199, 0, 
1917, 101, 0, 77.83, 13.16, 81, 199, 0, 
1918, 101, 0, 77.83, 13.16, 81, 199, 0, 
1919, 101, 0, 77.83, 13.16, 81, 200, 0, 
1920, 101, 0, 77.83, 13.16, 81, 199, 0, 
1921, 101, 0, 77.83, 13.16, 81, 201, 0, 
1922, 101, 0, 77.83, 13.16, 81, 200, 0, 
1923, 101, 0, 77.83, 13.16, 81, 199, 0, 
1924, 101, 0, 77.83, 13.16, 81, 201, 0, 
1925, 101, 0, 77.83, 13.16, 81, 201, 0, 
1926, 101, 0, 77.83, 13.16, 81, 199, 0, 
1927, 101, 0, 77.83, 13.16, 81, 203, 0, 
1928, 101, 0, 77.83, 13.16, 81, 201, 0, 
1929, 101, 0, 77.83, 13.16, 81, 201, 0, 
1930, 101, 0, 77.83, 13.16, 81, 202, 0, 
1931, 101, 0, 77.83, 13.16, 81, 202, 0, 
1932, 101, 0, 77.83, 13.16, 81, 200, 0, 
1933, 101, 0, 77.83, 13.16, 81, 199, 0, 
1934, 101, 0, 77.83, 13.16, 81, 200, 0, 
1935, 101, 0, 77.83, 13.16, 81, 199, 0, 
1936, 101, 0, 77.83, 13.16, 81, 199, 0, 
1937, 101, 0, 77.83, 13.16, 81, 199, 0, 
1938, 101, 0, 77.83, 13.16, 81, 199, 0, 
1939, 101, 0, 77.83, 13.16, 81, 200, 0, 
1940, 101, 0, 77.83, 13.16, 81, 202, 0, 
1941, 101, 0, 77.83, 13.16, 81, 200, 0, 
1942, 101, 0, 77.83, 13.16, 81, 202, 0, 
1943, 101, 0, 77.83, 13.16, 81, 201, 0, 
1944, 101, 0, 77.83, 13.16, 81, 199, 0, 
1895, 102, 1, 77.83, 13.16, 81, 199, 0, 
1896, 102, 1, 77.83, 13.16, 81, 203, 0, 
