Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,co2,relativehumidity,min_relativehumidity,max_relativehumidity,specifichumidty,pet,par,ozone,shortwave,temperature,FWI,
1895, 1, 101, 0, 2.45, -14.86, -2.49, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 2, 101, 0, 2.54, -12.74, 3.11, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 3, 101, 0, 1.4, -5.56, 10, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 4, 101, 0, 4.37, 8.47, 24.95, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 5, 101, 0, 11.65, 12.67, 28.72, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 6, 101, 0, 14.23, 17.71, 32.78, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 7, 101, 0, 12.32, 19.16, 33.95, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 8, 101, 0, 7.35, 18.51, 33.22, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 9, 101, 0, 12.53, 15.66, 29.12, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 10, 101, 0, 1.79, 6.02, 19.96, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 11, 101, 0, 4.21, -0.82, 10.77, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 12, 101, 0, 2.09, -6.65, 5.48, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 1, 102, 1, 2.45, -14.86, -2.49, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 2, 102, 1, 2.54, -12.74, 3.11, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 3, 102, 1, 1.4, -5.56, 10, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 4, 102, 1, 4.37, 8.47, 24.95, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 5, 102, 1, 11.65, 12.67, 28.72, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 6, 102, 1, 14.23, 17.71, 32.78, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 7, 102, 1, 12.32, 19.16, 33.95, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 8, 102, 1, 7.35, 18.51, 33.22, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 9, 102, 1, 12.53, 15.66, 29.12, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 10, 102, 1, 1.79, 6.02, 19.96, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 11, 102, 1, 4.21, -0.82, 10.77, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1895, 12, 102, 1, 2.09, -6.65, 5.48, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 1, 101, 0, 3.47, -9.92, 0.88, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 2, 101, 0, 1.83, -9.31, 5.12, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 3, 101, 0, 4.84, -5.62, 8.11, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 4, 101, 0, 12.35, 7.29, 19.83, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 5, 101, 0, 15.53, 15.01, 29.12, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 6, 101, 0, 7.48, 17.95, 33.75, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 7, 101, 0, 8.71, 20.19, 36.69, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 8, 101, 0, 9.5, 18.59, 35.35, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 9, 101, 0, 5.86, 13.32, 27.98, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 10, 101, 0, 10.13, 7.03, 19.66, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1896, 11, 101, 0, 6.98, -4.2, 5.36, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
