Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
5, 1, MaxAgeClearcut, 68, 1, 119, 119, 344, 344, 72454.03, 210.6222, 0, 3422, 85, 357, 146, 342, 257, 403, 12, 130, 54, 104, 485, 168, 342, 238, 299, 133.2, 1164.17, 336.77, 1696.33, 6920.50000000001, 1653.8, 20.16, 1938.43, 5446.71, 18580.64, 18788.2999999999, 8361.52, 2020.49, 4634.3, 758.71, 
5, 2, MaxAgeClearcut, 82, 2, 337, 337, 221, 221, 53561.19, 242.3583, 0, 3484, 663, 60, 120, 90, 0, 120, 985, 0, 573, 573, 0, 0, 90, 90, 120, 3553.74000000001, 61.2, 321.3, 192.3, 0, 239.4, 14365.8500000001, 0, 15127.2, 12644.2, 0, 0, 109.8, 6729.3, 216.9, 
10, 2, MaxAgeClearcut, 79, 3, 264, 264, 111, 111, 27795.8, 250.4126, 0, 2069, 257, 126, 170, 160, 41, 211, 264, 0, 138, 150, 45, 0, 160, 148, 199, 997.96, 248.3, 436.39, 583.27, 1926.1, 592.24, 3504.81999999999, 0, 3643.2, 5189.12, 1500.9, 0, 615.85, 8142.28, 415.37, 
10, 2, MaxAgeClearcut, 87, 4, 264, 264, 116, 116, 29355.76, 253.0669, 0, 2250, 290, 132, 202, 171, 31, 233, 289, 0, 150, 154, 31, 0, 171, 167, 229, 1101, 230.38, 515.44, 644.42, 2364.62, 633.820000000001, 3813.01999999999, 0, 3960, 4024.64, 1515.04, 0, 708.85, 9365.47000000001, 479.06, 
15, 1, MaxAgeClearcut, 68, 5, 9, 9, 344, 339, 22554.44, 66.5323, 0, 1377, 0, 244, 3, 25, 263, 52, 1, 9, 7, 5, 326, 41, 147, 128, 126, 0, 3406.6, 45.72, 387.87, 3737.74, 1059.57, 5.96, 73.63, 50.08, 34.44, 6066.21999999999, 1442.61, 1841.29, 2327.07, 2075.64, 
15, 2, MaxAgeClearcut, 71, 6, 271, 271, 277, 277, 67593.36, 244.0194, 0, 4918, 620, 284, 378, 338, 118, 453, 725, 0, 387, 423, 132, 1, 337, 304, 418, 3078.96000000001, 715.669999999998, 958.679999999999, 1506.74, 5478.6, 1532.47, 9115.59999999999, 0, 10727.64, 13440.72, 4078.22000000001, 3.84, 1705.1, 14243.36, 1007.76, 
20, 2, MaxAgeClearcut, 73, 8, 201, 201, 131, 131, 32420.38, 247.4838, 0, 2385, 150, 229, 212, 246, 141, 318, 93, 0, 42, 88, 147, 0, 246, 201, 272, 474.07, 766.619999999998, 535.15, 1424.19, 5824.11, 1368.21, 1010.49, 0, 1164.24, 8179.69, 3466.8, 0, 1725.63, 5714.16000000001, 767.019999999999, 
20, 2, MaxAgeClearcut, 86, 7, 231, 231, 134, 134, 33323.36, 248.6818, 0, 2618, 249, 202, 265, 241, 89, 326, 197, 0, 90, 114, 93, 0, 241, 216, 295, 874.290000000001, 520.599999999999, 671.219999999999, 1122.89, 4237.61, 1133.72, 2161.17, 0, 2494.8, 5771.34, 2649.48, 0, 1296.77, 9663.97000000001, 725.499999999999, 
25, 1, SelectiveNorthernHardwood, 4, 13, 329, 5481, 29, 2, 20.28, 10.14, 26, 0, 0, 4, 8, 6, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 6.44, 5.16, 0, 7.78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 6, 20, 289, 4579, 59, 4, 50.82, 12.705, 38, 0, 0, 6, 13, 8, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91, 14.34, 14.98, 0, 16.59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
